"id","help_text","code","field_type","description","parent_id/id","required","report_id/id"
"joppd_A","","A","view","STRANA A","","False","joppd"
"__export__.l10n_hr_report_line_2","","dan","","IZVJEŠĆE o primicima, porezu na dohodak i prirezu te doprinosima za obvezna osiguranja na dan ","joppd_A","False","joppd-a"
"joppd-a_I","Upisuje se oznaka izvješća u obliku GG001 do GG365(366), a sastoji se od kombinacije oznake zadnje dvije znamenke godine i rednog broja dana u godini na koji je izvršena isplata primitka ili na koji su obračunani i uplaćeni doprinosi, odnosno na koji je podnesen Obrazac.  Svaki dan u godini ima svoju oznaku te se oznaka izvješća ne može ponavljati.","I","view","OZNAKA IZVJEŠĆA","joppd_A","False","joppd-a"
"joppd-a_II","Upisuje se oznaka 1 kada se podnosi prvo (izvorno) izvješće, oznaka 2 kada se podnosi ispravak već podnesenog izvješća koje je zaprimljeno od nadležne ispostave Porezne uprave, te oznaka 3 kada se dopunjuju podaci iskazani na izvornom izvješću. Oznaka 1 pod vrstom izvješća može se upisati samo jednom za istu oznaku izvješća, istog podnositelja izvješća i istog obveznika plaćanja.","II","view","VRSTA IZVJEŠĆA","joppd_A","False","joppd-a"
"joppd-a_III","Podaci o podnositelju izvješća i to: naziv/ime i prezime, adresa, adresa elektroničke pošte, OIB i oznaka podnositelja iz Priloga 1. Podnositelj izvješća. Podnositelj izvješća je isplatitelj primitka i/ili obveznik obračunavanja i plaćanja doprinosa, odnosno nositelj osiguranja i/ili sam porezni obveznik, osim za podnositelje pod oznakom 6, 7, 8, 9 ili 10 iz Priloga 1. Podnositelj izvješća, za koje je podnositelj izvješća obveznik obračunavanja primitka i/ili obveznih doprinosa sukladno Zakonu o doprinosima, odnosno platni agent sukladno ugovoru sa isplatiteljem dividende.","III","view","PODACI O ","joppd_A","False","joppd-a"
"joppd-a_III1","Podaci o podnositelju izvješća i to: naziv/ime i prezime, adresa, adresa elektroničke pošte, OIB i oznaka podnositelja iz Priloga 1. Podnositelj izvješća. Podnositelj izvješća je isplatitelj primitka i/ili obveznik obračunavanja i plaćanja doprinosa, odnosno nositelj osiguranja i/ili sam porezni obveznik, osim za podnositelje pod oznakom 6, 7, 8, 9 ili 10 iz Priloga 1. Podnositelj izvješća, za koje je podnositelj izvješća obveznik obračunavanja primitka i/ili obveznih doprinosa sukladno Zakonu o doprinosima, odnosno platni agent sukladno ugovoru sa isplatiteljem dividende.","III.1","view","PODNOSITELJU IZVJEŠĆA","joppd-a_III","False","joppd-a"
"joppd-a_III11","","III.1.1","","Naziv /Ime i Prezime","joppd-a_III1","False","joppd-a"
"joppd-a_III12","","III.1.2","","Adresa","joppd-a_III1","False","joppd-a"
"joppd-a_III13","","III.1.3","","Adresa elektroničke pošte","joppd-a_III1","False","joppd-a"
"joppd-a_III14","","III.1.4","","OIB","joppd-a_III1","False","joppd-a"
