"id","code_type","name","description"
"p-1_1","P-1","1","Pravna osoba"
"p-1_2","P-1","2","Fizička osoba koja obavlja samostalnu djelatnost i po toj osnovi obveznik je poreza na dohodak ili poreza na dobit"
"p-1_3","P-1","3","Poslodavci diplomatske misije i konzularni uredi stranih država i međunarodnih organizacija koji u Republici Hrvatskoj uživaju diplomatski imunitet - za doprinose obračunane za osiguranike po osnovi radnog odnosa"
"p-1_4","P-1","4","Ostale fizičke osobe"
"p-1_5","P-1","5","Ostali poslovni subjekti"
"p-1_6","P-1","6","Škola ili ustanova za osiguranike: -    učenike i studente na dodiplomskom studiju na praktičnoj nastavi ili na stručnoj praksi te struÄčnim putovanjima i - djecu i mladež sa smetnjama u tjelesnom i duševnom razvoju na praktičnoj nastavi ili na obveznom praktičnom radu kada je škola ili ustanova obveznik podnošenja a nadležno ministarstvo obveznik uplate doprinosa"
"p-1_7","P-1","7","HZMO kada je HZMO obveznik podnošenja a nadležno ministarstvo obveznik uplate doprinosa"
"p-1_8","P-1","8","HZZO kada je HZZO obveznik podnošenja a nadležno ministarstvo obveznik uplate doprinosa"
"p-1_9","P-1","9","Ostala tijela (izuzev HZMO i HZZO) kada su ostala tijela, sukladno odredbama Zakona o doprinosima ili odredbama posebnih propisa obveznici obračunavanja a nadležno ministarstvo obveznik uplate doprinosa"
"p-1_10","P-1","10","Platni agent kada platni agent sukladno ugovoru sa isplatiteljem dividende u njegovo ime i za njegov račun isplaćuje dividendu dioničarima fizičkim osobama"
"p-1_11","P-1","11","Poslodavac u stečaju u slučaju izravne isplate plaće koju Agencija za osiguranje radničkih potraživanja u slučaju stečaja poslodavaca isplaćuje radniku"
"p-1_12","P-1","12","Osiguranik po osnovi rada kod poslodavca s registriranim sjedištem ili mjestom poslovanja u drugoj državi članici Europske unije koji je od tog poslodavca preuzeo obvezu doprinosa"
"p-1_13","P-1","13","Poslodavac u slučaju kada druga osoba umjesto toga poslodavca isplaćuje plaću"
"p-2_0000","P-2","0",""
"p-2_0001","P-2","1","Radnik/osiguranik po osnovi radnog odnosa"
"p-2_0002","P-2","2","Radnik/osiguranik po osnovi radnog odnosa - osoba koja se prvi put zapošljava prema odredbama Zakona o doprinosima"
"p-2_0003","P-2","3","Radnik/osiguranik po osnovi radnog odnosa - novozaposlena osoba prema odredbama Zakona o poticanju zapošljavanja"
"p-2_0004","P-2","4","Fizička osoba izaslana na rad u Republiku Hrvatsku po nalogu inozemnog poslodavca u tuzemna društva za rad u tim društvima"
"p-2_0005","P-2","5","Radnik/osiguranik koji je temeljem radnog odnosa izaslan na rad u inozemstvo"
"p-2_0006","P-2","6","Radnik/osiguranik koji je temeljem radnog odnosa izaslan na rad u inozemstvo-osoba koja se prvi put zapošljava prema odredbama Zakona o doprinosima"
"p-2_0007","P-2","7","Radnik/osiguranik koji je temeljem radnog odnosa izaslan na rad u inozemstvo-novozaposlena osoba prema odredbama Zakona o poticanju zapošljavanja"
"p-2_0008","P-2","8","Članovi predstavničkih i izvršnih tijela državne vlasti i jedinica lokalne i područne (regionalne) samouprave (izabrane i imenovane osobe) po osnovi primitaka (plaće) koji im se isplaćuju za rad u tim tijelima i jedinicama"
"p-2_0009","P-2","9","Ostali stjecatelji/osiguranici po osnovi radnog odnosa/plaće"
"p-2_0010","P-2","11","Radnik/osiguranik koji je temeljem radnog odnosa izaslan na rad u inozemstvo – mlada osoba prema odredbama Zakona o doprinosima"
"p-2_0012","P-2","12","Radnik/osiguranik po osnovi radnog odnosa - dijete smrtno stradalog hrvatskog branitelja iz Domovinskog rata ili dijete nestalog hrvatskog branitelja iz Domovinskog rata prema odredbama Zakona o hrvatskim braniteljima iz Domovinskog rata i članovima njihovih obitelji"
"p-2_0013","P-2","13","Radnik/osiguranik po osnovi radnog odnosa osoba koja se prvi put zapošljava po osnovi ugovora o radu prema odredbama Zakona o doprinosima"
"p-2_0014","P-2","14","Radnik/osiguranik koji je temeljem radnog odnosa izaslan na rad u inozemstvo ili drugu državu članicu Europske unije – osoba koja se prvi put zapošljava po osnovi ugovora o radu prema odredbama Zakona o doprinosima"
"p-2_0026","P-2","26","Radnik/osiguranik po osnovi radnog odnosa – rad u kućanstvu osoba koja se prvi put zapošljava po osnovi ugovora o radu prema odredbama Zakona o doprinosima"
"p-2_0021","P-2","21","Radnik/osiguranik po osnovi radnog odnosa - rad u kućanstvu"
"p-2_0022","P-2","22","Radnik/osiguranik po osnovi radnog odnosa - rad u kućanstvu koji se prvi put zapošljava prema odredbama Zakona o doprinosima"
"p-2_0023","P-2","23","Radnik/osiguranik po osnovi radnog odnosa-rad u kućanstvu koji se prvi put zapošljava prema odredbama Zakona o tržištu rada"
"p-2_0024","P-2","24","Ostali stjecatelji/osiguranici po osnovi radnog odnosa - rad u kućanstvu"
"p-2_0025","P-2","25","Radnik/osiguranik po osnovi radnog odnosa–rad u kućanstvu mlada osoba prema odredbama Zakona o doprinosima"
"p-2_0031","P-2","31","Stjecatelj/osiguranik-trgovac pojedinac"
"p-2_0032","P-2","32","Ostali stjecatelji/osiguranici koji obavljaju samostalnu djelatnost i po toj osnovi obveznici su poreza na dobit"
"p-2_0033","P-2","33","Stjecatelji/osiguranici koji ostvaruju primitke od imovine i imovinskih prava od kojih, prema propisima o porezu na dohodak, utvrđuju dohodak od imovine i imovinskih prava, ali su promijenili način utvrđivanja dohotka, pa prema tim primicima utvrđuju dobiti"
"p-2_0041","P-2","41","Stjecatelj primitka/osiguranik po osnovi obavljanja samostalne djelatnosti obrta"
