"id","b61/id","code","parent_id/id","name","note","rule_ids/id","company_id/id"
"hr_payroll_structure_5","","HR2","","Zaposlenik oslobođen doprinosa","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_11,hr_salary_rule_12,hr_salary_rule_13,hr_salary_rule_230,hr_salary_rule_17,hr_salary_rule_18,hr_salary_rule_26,hr_salary_rule_27,hr_salary_rule_29,hr_salary_rule_36,hr_salary_rule_37,hr_salary_rule_39,hr_salary_rule_40,hr_salary_rule_41,hr_salary_rule_42,hr_salary_rule_43,hr_salary_rule_44,hr_salary_rule_45,hr_salary_rule_46,hr_salary_rule_47,hr_salary_rule_48,hr_salary_rule_49,hr_salary_rule_50,hr_salary_rule_51,hr_salary_rule_52,hr_salary_rule_53,hr_salary_rule_54,hr_salary_rule_55,hr_salary_rule_56,hr_salary_rule_57,hr_salary_rule_58,hr_salary_rule_59,hr_salary_rule_60,hr_salary_rule_61,hr_salary_rule_79,hr_salary_rule_80,hr_salary_rule_81,hr_salary_rule_82,hr_salary_rule_83,hr_salary_rule_210,hr_salary_rule_211,hr_salary_rule_212,hr_salary_rule_213,hr_salary_rule_90,hr_salary_rule_91,hr_salary_rule_92,hr_salary_rule_93,hr_salary_rule_117,hr_salary_rule_157,hr_salary_rule_149,hr_salary_rule_150,hr_salary_rule_151,hr_salary_rule_152,hr_salary_rule_153,hr_salary_rule_154,hr_salary_rule_155,hr_salary_rule_156,hr_salary_rule_158,hr_salary_rule_159,hr_salary_rule_160,hr_salary_rule_162,hr_salary_rule_164,hr_salary_rule_165,hr_salary_rule_166,hr_salary_rule_167,hr_salary_rule_168,hr_salary_rule_169,hr_salary_rule_170,hr_salary_rule_171,hr_salary_rule_172,hr_salary_rule_173,hr_salary_rule_174,hr_salary_rule_175,hr_salary_rule_183,hr_salary_rule_190,hr_salary_rule_191,hr_salary_rule_193,hr_salary_rule_194,hr_salary_rule_208,hr_salary_rule_209,hr_salary_rule_216,hr_salary_rule_217,hr_salary_rule_218,hr_salary_rule_219,hr_salary_rule_220,hr_salary_rule_221,hr_salary_rule_223,hr_salary_rule_224,hr_salary_rule_225,hr_salary_rule_229,hr_salary_rule_234,hr_salary_rule_236,hr_salary_rule_237,hr_salary_rule_238","base.main_company"
"hr_payroll_structure_4","","HR1","hr_payroll_structure_5","Standardni zaposlenik Hrvatska","","hr_salary_rule_4,hr_salary_rule_237","base.main_company"
"hr_payroll_structure_8","","HR5","hr_payroll_structure_5","Standardni zaposlenik Hrvatska beneficirani","","hr_salary_rule_4,hr_salary_rule_64,hr_salary_rule_237","base.main_company"
"hr_payroll_structure_17","","HR14","","Ugovor o djelu","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_13,hr_salary_rule_26,hr_salary_rule_27,hr_salary_rule_43,hr_salary_rule_210,hr_salary_rule_176,hr_salary_rule_180,hr_salary_rule_182,hr_salary_rule_195,hr_salary_rule_196,hr_salary_rule_231","base.main_company"
"hr_payroll_structure_9","","HR6","hr_payroll_structure_17","Autorski honorar","","hr_salary_rule_69","base.main_company"
"hr_payroll_structure_10","","HR7","hr_payroll_structure_9","Autorski honorar umjetnički","","hr_salary_rule_70","base.main_company"
"hr_payroll_structure_15","hr_joppd_form.p-2_1001","HR12","","Isplata dobiti","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_144,hr_salary_rule_214,hr_salary_rule_147,hr_salary_rule_43,hr_salary_rule_26,hr_salary_rule_18,hr_salary_rule_13","base.main_company"
"hr_payroll_structure_16","","HR13","","Isplata doprinosa","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_4,hr_salary_rule_230,hr_salary_rule_148,hr_salary_rule_183,hr_salary_rule_215,hr_salary_rule_222,hr_salary_rule_224,hr_salary_rule_225,hr_salary_rule_229,hr_salary_rule_235","base.main_company"
"hr_payroll_structure_20","","HR17","","Izaslani rad - porez u Hrvatskoj bez doprinosa","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_11,hr_salary_rule_12,hr_salary_rule_14,hr_salary_rule_17,hr_salary_rule_18,hr_salary_rule_26,hr_salary_rule_27,hr_salary_rule_29,hr_salary_rule_36,hr_salary_rule_37,hr_salary_rule_39,hr_salary_rule_40,hr_salary_rule_41,hr_salary_rule_42,hr_salary_rule_43,hr_salary_rule_44,hr_salary_rule_45,hr_salary_rule_46,hr_salary_rule_47,hr_salary_rule_48,hr_salary_rule_49,hr_salary_rule_50,hr_salary_rule_51,hr_salary_rule_52,hr_salary_rule_53,hr_salary_rule_54,hr_salary_rule_55,hr_salary_rule_56,hr_salary_rule_57,hr_salary_rule_58,hr_salary_rule_59,hr_salary_rule_60,hr_salary_rule_61,hr_salary_rule_79,hr_salary_rule_80,hr_salary_rule_81,hr_salary_rule_82,hr_salary_rule_83,hr_salary_rule_84,hr_salary_rule_210,hr_salary_rule_211,hr_salary_rule_212,hr_salary_rule_213,hr_salary_rule_90,hr_salary_rule_91,hr_salary_rule_92,hr_salary_rule_93,hr_salary_rule_117,hr_salary_rule_149,hr_salary_rule_150,hr_salary_rule_151,hr_salary_rule_152,hr_salary_rule_153,hr_salary_rule_154,hr_salary_rule_155,hr_salary_rule_156,hr_salary_rule_157,hr_salary_rule_158,hr_salary_rule_159,hr_salary_rule_160,hr_salary_rule_162,hr_salary_rule_164,hr_salary_rule_165,hr_salary_rule_166,hr_salary_rule_167,hr_salary_rule_168,hr_salary_rule_169,hr_salary_rule_170,hr_salary_rule_171,hr_salary_rule_172,hr_salary_rule_173,hr_salary_rule_174,hr_salary_rule_175,hr_salary_rule_184,hr_salary_rule_185,hr_salary_rule_186,hr_salary_rule_190,hr_salary_rule_191,hr_salary_rule_193,hr_salary_rule_194,hr_salary_rule_208,hr_salary_rule_209,hr_salary_rule_216,hr_salary_rule_217,hr_salary_rule_218,hr_salary_rule_219,hr_salary_rule_220,hr_salary_rule_221,hr_salary_rule_143,hr_salary_rule_223,hr_salary_rule_234,hr_salary_rule_236,hr_salary_rule_237,hr_salary_rule_238","base.main_company"
"hr_payroll_structure_21","","HR18","","Izaslani rad - porez u inozemstvu bez doprinosa","","l10n_hr_payroll_base.hr_rule_basic,hr_salary_rule_11,hr_salary_rule_12,hr_salary_rule_14,hr_salary_rule_29,hr_salary_rule_36,hr_salary_rule_37,hr_salary_rule_39,hr_salary_rule_40,hr_salary_rule_41,hr_salary_rule_42,hr_salary_rule_43,hr_salary_rule_44,hr_salary_rule_46,hr_salary_rule_47,hr_salary_rule_48,hr_salary_rule_49,hr_salary_rule_50,hr_salary_rule_51,hr_salary_rule_52,hr_salary_rule_53,hr_salary_rule_54,hr_salary_rule_55,hr_salary_rule_56,hr_salary_rule_57,hr_salary_rule_58,hr_salary_rule_59,hr_salary_rule_60,hr_salary_rule_61,hr_salary_rule_79,hr_salary_rule_80,hr_salary_rule_81,hr_salary_rule_82,hr_salary_rule_83,hr_salary_rule_84,hr_salary_rule_90,hr_salary_rule_91,hr_salary_rule_92,hr_salary_rule_93,hr_salary_rule_117,hr_salary_rule_149,hr_salary_rule_150,hr_salary_rule_151,hr_salary_rule_152,hr_salary_rule_153,hr_salary_rule_154,hr_salary_rule_155,hr_salary_rule_156,hr_salary_rule_157,hr_salary_rule_158,hr_salary_rule_159,hr_salary_rule_160,hr_salary_rule_162,hr_salary_rule_164,hr_salary_rule_165,hr_salary_rule_166,hr_salary_rule_167,hr_salary_rule_168,hr_salary_rule_169,hr_salary_rule_170,hr_salary_rule_171,hr_salary_rule_172,hr_salary_rule_173,hr_salary_rule_174,hr_salary_rule_175,hr_salary_rule_184,hr_salary_rule_187,hr_salary_rule_188,hr_salary_rule_189,hr_salary_rule_190,hr_salary_rule_191,hr_salary_rule_194,hr_salary_rule_208,hr_salary_rule_209,hr_salary_rule_216,hr_salary_rule_217,hr_salary_rule_218,hr_salary_rule_219,hr_salary_rule_220,hr_salary_rule_221,hr_salary_rule_143,hr_salary_rule_223,hr_salary_rule_234,hr_salary_rule_236,hr_salary_rule_237,hr_salary_rule_238","base.main_company"
