"id","code","parent_id/id","name","note","skip_hours","company_id/id"
"l10n_hr_payroll_base.BASIC","BASIC","","Bruto plaća","","False","base.main_company"
"l10n_hr_payroll_base.ALW","ALW","","Predujam","","False","base.main_company"
"l10n_hr_payroll_base.GROSS","GROSS","","Bruto plaća","","False","base.main_company"
"l10n_hr_payroll_base.DED","DED","","Odbitak","","False","base.main_company"
"l10n_hr_payroll_base.NET","NET","","Neto plaća","","False","base.main_company"
"l10n_hr_payroll_base.COMP","COMP","","Doprinosi poduzeću","","False","base.main_company"
"hr_salary_rule_category_7","DOP","","Doprinosi","","False","base.main_company"
"hr_salary_rule_category_8","DMIO","hr_salary_rule_category_7","Doprinosi MIO","","False","base.main_company"
"hr_salary_rule_category_9","DOH","","Dohodak","","False","base.main_company"
"hr_salary_rule_category_10","OOD","","Osobni odbitak","","False","base.main_company"
"hr_salary_rule_category_11","PDOH","","Porez na dohodak","","False","base.main_company"
"hr_salary_rule_category_12","PORKAP1","hr_salary_rule_category_11","Porez na dohodak od kapitala - 1. razred","","False","base.main_company"
"hr_salary_rule_category_13","POROSN","","Porezna osnovica","","False","base.main_company"
"hr_salary_rule_category_14","POR25","hr_salary_rule_category_11","Porez na dohodak 25%","","False","base.main_company"
"hr_salary_rule_category_15","POR40","hr_salary_rule_category_11","Porez na dohodak 40%","","False","base.main_company"
"hr_salary_rule_category_16","POSN12","","Porezna osnovica 12%","","False","base.main_company"
"hr_salary_rule_category_17","POSN25","","Porezna osnovica 25%","","False","base.main_company"
"hr_salary_rule_category_18","POSN40","","Porezna osnovica 40%","","False","base.main_company"
"hr_salary_rule_category_28","EBRT","","Elementi bruto plaće","","False","base.main_company"
"hr_salary_rule_category_20","RR","hr_salary_rule_category_28","Sati rada","","False","base.main_company"
"hr_salary_rule_category_21","GO","hr_salary_rule_category_28","Godišnji odmor","","False","base.main_company"
"hr_salary_rule_category_22","BO","hr_salary_rule_category_28","Bolovanje","","False","base.main_company"
"hr_salary_rule_category_23","DOPN","","Doprinosi na plaću","","False","base.main_company"
"hr_salary_rule_category_25","OSNOVICE","","Osnovice","","False","base.main_company"
"hr_salary_rule_category_26","RDINO","","Radni dani u inozemstvu","","False","base.main_company"
"hr_salary_rule_category_27","UOZOI","","Osnovica za obračun dopr.zdravstvenog osiguranja u inozemstvu","","False","base.main_company"
"hr_salary_rule_category_29","DODB","hr_salary_rule_category_28","Dodaci/odbici na bruto","","False","base.main_company"
"hr_salary_rule_category_31","PRR","hr_salary_rule_category_28","Prekovremeni rad ( radni dan )","","False","base.main_company"
"hr_salary_rule_category_33","ISPL","","Isplata","","False","base.main_company"
"hr_salary_rule_category_34","IOOD","","Iskorišten osobni odbitak","","False","base.main_company"
"hr_salary_rule_category_36","ND","hr_salary_rule_category_28","Neradni dani","","False","base.main_company"
"hr_salary_rule_category_37","PRN","hr_salary_rule_category_28","Prekovremeni rad ( nedjelja )","","False","base.main_company"
"hr_salary_rule_category_38","PRP","hr_salary_rule_category_28","Prekovremeni rad ( praznik )","","False","base.main_company"
"hr_salary_rule_category_39","NOC","hr_salary_rule_category_28","Noćni rad","","True","base.main_company"
"hr_salary_rule_category_40","BOF50","l10n_hr_payroll_base.NET","Bolovanje - Fond 50%","","False","base.main_company"
"hr_salary_rule_category_41","ONR","hr_salary_rule_category_28","Ozljeda na radu","","False","base.main_company"
"hr_salary_rule_category_42","BOF70","l10n_hr_payroll_base.NET","Bolovanje - Fond 70%","","False","base.main_company"
"hr_salary_rule_category_43","BOF80","l10n_hr_payroll_base.NET","Bolovanje - Fond 80%","","False","base.main_company"
"hr_salary_rule_category_44","ONRF","l10n_hr_payroll_base.NET","Ozljeda na radu - Fond","","False","base.main_company"
"hr_salary_rule_category_45","PD","hr_salary_rule_category_28","Plaćeni dopust","","False","base.main_company"
"hr_salary_rule_category_46","PDT","hr_salary_rule_category_28","Porodiljni dopust","","False","base.main_company"
"hr_salary_rule_category_47","PDTK","hr_salary_rule_category_28","Komplikacije u trudnoći","","False","base.main_company"
"hr_salary_rule_category_48","OBS","","Obustave","","False","base.main_company"
"hr_salary_rule_category_49","BLG","hr_salary_rule_category_28","Blagdan","","False","base.main_company"
"hr_salary_rule_category_50","ODN","","Odbici na neto","","False","base.main_company"
"hr_salary_rule_category_51","DOPPU","","Doprinos na plaću ukupno","","False","base.main_company"
"hr_salary_rule_category_52","UKTRP","","Ukupan trošak plaće","","False","base.main_company"
"hr_salary_rule_category_53","DOPMIOB","hr_salary_rule_category_23","Doprinosi za beneficirani radni staž","","False","base.main_company"
"hr_salary_rule_category_54","IZS","","Izaslani rad","","False","base.main_company"
"hr_salary_rule_category_55","NPIZN","l10n_hr_payroll_base.NET","Neoporezivi iznos","","False","base.main_company"
"hr_salary_rule_category_56","TERT","hr_salary_rule_category_28","Terenski rad tuzemstvo","","False","base.main_company"
"hr_salary_rule_category_57","TERI","hr_salary_rule_category_28","Terenski rad inozemstvo","","False","base.main_company"
