"id","code","type","parent_id/id","name"
"l10n_hr_joppd_applicant","","view",,"Podnositelj izvješća"
"l10n_hr_joppd_applicant_1",1,"normal","l10n_hr_joppd_applicant","Pravna osoba"
"l10n_hr_joppd_applicant_2",2,"normal","l10n_hr_joppd_applicant","Fizička osoba koja obavlja samostalnu djelatnost i po toj osnovi obveznik je poreza na dohodak ili poreza na dobit"
"l10n_hr_joppd_applicant_3",3,"normal","l10n_hr_joppd_applicant","Poslodavci diplomatske misije i konzularni uredi stranih država i međunarodnih organizacija koji u Republici Hrvatskoj uživaju diplomatski imunitet – za doprinose obračunane za osiguranike po osnovi radnog odnosa"
"l10n_hr_joppd_applicant_4",4,"normal","l10n_hr_joppd_applicant","Ostale fizičke osobe"
"l10n_hr_joppd_applicant_5",5,"normal","l10n_hr_joppd_applicant","Ostali poslovni subjekti"
"l10n_hr_joppd_applicant_6",6,"normal","l10n_hr_joppd_applicant","Škola ili ustanova za osiguranike"
"l10n_hr_joppd_applicant_7",7,"normal","l10n_hr_joppd_applicant","HZMO"
"l10n_hr_joppd_applicant_8",8,"normal","l10n_hr_joppd_applicant","HZZO"
"l10n_hr_joppd_applicant_9",9,"normal","l10n_hr_joppd_applicant","Ostala tijela (izuzev HZMO i HZZO)"
"l10n_hr_joppd_applicant_10",10,"normal","l10n_hr_joppd_applicant","SKDD"
"l10n_hr_joppd_applicant_11",11,"normal","l10n_hr_joppd_applicant","Poslodavac u stečaju u slučaju izravne isplate plaće koju Agencija za osiguranje radničkih potraživanja u slučaju stečaja poslodavaca isplaćuje radniku"
"l10n_hr_joppd_applicant_12",12,"normal","l10n_hr_joppd_applicant","Osiguranik po osnovi rada kod poslodavca s registriranim sjedištem ili mjestom poslovanja u drugoj državi članici Europske unije koji je od tog poslodavca preuzeo obvezu doprinosa"
"l10n_hr_joppd_applicant_13",13,"normal","l10n_hr_joppd_applicant","Poslodavac u slučaju kada druga osoba umjesto toga poslodavca isplaćuje plaću"
