id,code,type,parent_id/id,name,regos_code,joppd_code,local_tax_pct,iban
l10n_hr_joppd_city_municipality,SVI,view,,Gradovi i općine,,,,
l10n_hr_joppd_city_municipality_00000,00000,normal,l10n_hr_joppd_city_municipality, ,,,,
l10n_hr_joppd_city_municipality_00019,00019,normal,l10n_hr_joppd_city_municipality,ANDRIJAŠEVCI,19,19,8,HR1910010051700112008
l10n_hr_joppd_city_municipality_00027,00027,normal,l10n_hr_joppd_city_municipality,ANTUNOVAC,27,27,0,HR8410010051700212009
l10n_hr_joppd_city_municipality_00035,00035,normal,l10n_hr_joppd_city_municipality,BABINA GREDA,35,35,5,HR3110010051700312000
l10n_hr_joppd_city_municipality_00043,00043,normal,l10n_hr_joppd_city_municipality,BAKAR,43,43,0,HR4210010051700412003
l10n_hr_joppd_city_municipality_00051,00051,normal,l10n_hr_joppd_city_municipality,BALE (VALLE),51,51,1,HR6410010051700512002
l10n_hr_joppd_city_municipality_00060,00060,normal,l10n_hr_joppd_city_municipality,BARBAN,60,60,5,HR4810010051700612006
l10n_hr_joppd_city_municipality_00078,00078,normal,l10n_hr_joppd_city_municipality,BARILOVIĆ,78,78,0,HR9710010051700712004
l10n_hr_joppd_city_municipality_00086,00086,normal,l10n_hr_joppd_city_municipality,BAŠKA,86,86,0,HR6510010051700812005
l10n_hr_joppd_city_municipality_00094,00094,normal,l10n_hr_joppd_city_municipality,BAŠKA VODA,94,94,0,HR7110010051700912001
l10n_hr_joppd_city_municipality_00108,00108,normal,l10n_hr_joppd_city_municipality,BEBRINA,108,108,0,HR4410010051701012009
l10n_hr_joppd_city_municipality_00116,00116,normal,l10n_hr_joppd_city_municipality,BEDEKOVČINA,116,116,0,HR8810010051701112000
l10n_hr_joppd_city_municipality_00124,00124,normal,l10n_hr_joppd_city_municipality,BEDNJA,124,124,10,HR0210010051701212003
l10n_hr_joppd_city_municipality_00132,00132,normal,l10n_hr_joppd_city_municipality,BELI MANASTIR,132,132,5,HR2410010051701312002
l10n_hr_joppd_city_municipality_00159,00159,normal,l10n_hr_joppd_city_municipality,BELICA,159,159,0,HR5710010051701512004
l10n_hr_joppd_city_municipality_00167,00167,normal,l10n_hr_joppd_city_municipality,BELIŠĆE,167,167,7,HR2510010051701612005
l10n_hr_joppd_city_municipality_00175,00175,normal,l10n_hr_joppd_city_municipality,BENKOVAC,175,175,5,HR3110010051701712001
l10n_hr_joppd_city_municipality_00183,00183,normal,l10n_hr_joppd_city_municipality,BEREK,183,183,0,HR5810010051701812007
l10n_hr_joppd_city_municipality_00191,00191,normal,l10n_hr_joppd_city_municipality,BERETINEC,191,191,7,HR2610010051701912008
l10n_hr_joppd_city_municipality_00205,00205,normal,l10n_hr_joppd_city_municipality,BIBINJE,205,205,0,HR5910010051702012003
l10n_hr_joppd_city_municipality_00213,00213,normal,l10n_hr_joppd_city_municipality,BILJE,213,213,5,HR8110010051702112002
l10n_hr_joppd_city_municipality_00221,00221,normal,l10n_hr_joppd_city_municipality,BIOGRAD NA MORU,221,221,12,HR6510010051702212006
l10n_hr_joppd_city_municipality_00230,00230,normal,l10n_hr_joppd_city_municipality,BIZOVAC,230,230,3,HR1710010051702312004
l10n_hr_joppd_city_municipality_00248,00248,normal,l10n_hr_joppd_city_municipality,BJELOVAR,248,248,0,HR8210010051702412005
l10n_hr_joppd_city_municipality_00256,00256,normal,l10n_hr_joppd_city_municipality,BLATO,256,256,10,HR8810010051702512001
l10n_hr_joppd_city_municipality_00264,00264,normal,l10n_hr_joppd_city_municipality,BOGDANOVCI,264,264,0,HR1810010051702612007
l10n_hr_joppd_city_municipality_00272,00272,normal,l10n_hr_joppd_city_municipality,BOL,272,272,10,HR8310010051702712008
l10n_hr_joppd_city_municipality_00299,00299,normal,l10n_hr_joppd_city_municipality,BOROVO,299,299,6,HR9510010051702912000
l10n_hr_joppd_city_municipality_00302,00302,normal,l10n_hr_joppd_city_municipality,BOSILJEVO,302,302,0,HR3610010051703012002
l10n_hr_joppd_city_municipality_00329,00329,normal,l10n_hr_joppd_city_municipality,BOŠNJACI,329,329,0,HR6910010051703212004
l10n_hr_joppd_city_municipality_00337,00337,normal,l10n_hr_joppd_city_municipality,BRCKOVLJANI,337,337,3,HR3710010051703312005
l10n_hr_joppd_city_municipality_00345,00345,normal,l10n_hr_joppd_city_municipality,BRDOVEC,345,345,0,HR4310010051703412001
l10n_hr_joppd_city_municipality_00353,00353,normal,l10n_hr_joppd_city_municipality,BRESTOVAC,353,353,5,HR7010010051703512007
l10n_hr_joppd_city_municipality_00361,00361,normal,l10n_hr_joppd_city_municipality,BREZNICA,361,361,10,HR3810010051703612008
l10n_hr_joppd_city_municipality_00370,00370,normal,l10n_hr_joppd_city_municipality,BRINJE,370,370,10,HR0610010051703712009
l10n_hr_joppd_city_municipality_00388,00388,normal,l10n_hr_joppd_city_municipality,BROD MORAVICE,388,388,0,HR5010010051703812000
l10n_hr_joppd_city_municipality_00396,00396,normal,l10n_hr_joppd_city_municipality,BRODSKI STUPNIK,396,396,10,HR6110010051703912003
l10n_hr_joppd_city_municipality_00400,00400,normal,l10n_hr_joppd_city_municipality,BRTONIGLA-VERTENEGLIO,400,400,0,HR2910010051704012004
l10n_hr_joppd_city_municipality_00418,00418,normal,l10n_hr_joppd_city_municipality,BUDINŠČINA,418,418,0,HR9410010051704112005
l10n_hr_joppd_city_municipality_00426,00426,normal,l10n_hr_joppd_city_municipality,BUJE (BUIE),426,426,6,HR0310010051704212001
l10n_hr_joppd_city_municipality_00434,00434,normal,l10n_hr_joppd_city_municipality,BUZET,434,434,6,HR3010010051704312007
l10n_hr_joppd_city_municipality_00442,00442,normal,l10n_hr_joppd_city_municipality,CERNA,442,442,5,HR9510010051704412008
l10n_hr_joppd_city_municipality_00469,00469,normal,l10n_hr_joppd_city_municipality,CERNIK,469,469,10,HR1010010051704612000
