"id","code","type","parent_id/id","name"
"l10n_hr_joppd_nontaxable_receipt","","view",,"Neoporezivi primici/primici koji se ne smatraju dohotkom"
"l10n_hr_joppd_nontaxable_receipt_0","0","normal","l10n_hr_joppd_nontaxable_receipt"," "
"l10n_hr_joppd_nontaxable_receipt_01","01","normal","l10n_hr_joppd_nontaxable_receipt","Primici od kamata na kunsku i deviznu štednju, na pologe (po viđenju i oročene) na žiroračunu, tekućem i deviznom računu koji su ostvareni od banaka, štedionica i štedno-kreditnih zadruga, te primici od kamata po vrijednosnim papirima (čl. 9. st. 1. t. 1. i 2. Zakona o porezu na dohodak) i primici po osnovi osiguranja stvari, odgovornosti, života i imovine (čl. 9. st. 3. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_02","02","normal","l10n_hr_joppd_nontaxable_receipt","Primici od otuđenja financijske imovine ako to nije djelatnost poreznog obveznika (čl. 9. st. 1. t. 3. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_03","03","normal","l10n_hr_joppd_nontaxable_receipt","Izravne uplate premije osiguranja za dokup dijela doživotne mirovine određene prema Zakonu o mirovinskom osiguranju kojeg bi osiguranik ostvario da je navršio određenu starosnu dob i/ili određeni mirovinski staž, te uplate sredstava u okviru programa mirovinske rente prema posebnim propisima, a koje uplaćuju poslodavci za svoje radnike u vrijeme njihovog umirovljenja (čl. 9. st. 1. t. 4. Zakona o porezu na dohodak) i novčani dodaci uz mirovinu koje umirovljenicima isplaćuju jedinice lokalne i područne (regionalne) samouprave, na temelju svojih općih akata i za koje su sredstva planirana u proračunima tih jedinica (čl. 9. st. 2. t. 2.7. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_04","04","normal","l10n_hr_joppd_nontaxable_receipt","Obiteljske mirovine koje djeca ostvaruju nakon smrti roditelja prema Zakonu o mirovinskom osiguranju i Zakonu o pravima hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji (čl. 9. st. 1. t. 5. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_05","05","normal","l10n_hr_joppd_nontaxable_receipt","Nagrade iz članka 9. stavka 1. točke 6. Zakona o porezu na dohodak"
"l10n_hr_joppd_nontaxable_receipt_06","06","normal","l10n_hr_joppd_nontaxable_receipt","Primici koje fizičke osobe ostvaruju po osnovi darovanja pravnih osoba, a za zdravstvene potrebe (čl. 9. st. 1. t. 7. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_07","07","normal","l10n_hr_joppd_nontaxable_receipt","Socijalne potpore (čl. 9. st. 2. t. 2.1. podt. 2.1.2. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_08","08","normal","l10n_hr_joppd_nontaxable_receipt","Doplatak za djecu i novčani primici za opremu novorođenog djeteta i primici po osnovi potpora za novorođenče, odnosno potpora za opremu novorođenog djeteta koje isplaćuju ili daju jedinice lokalne i područne (regionalne) samouprave, na temelju svojih općih akata i za koje su sredstva planirana u proračunima tih jedinica (čl. 9. st. 2. t. 2.1. podt. 2.1.3. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_09","09","normal","l10n_hr_joppd_nontaxable_receipt","Potpore zbog zbrinjavanja ratnih invalida i članova obitelji smrtno stradalih, zatočenih ili nestalih hrvatskih branitelja iz Domovinskog rata (čl. 9. st. 2. t. 2.1. podt. 2.1.1. Zakona o porezu na dohodak), te primici osoba s invaliditetom, osim plaća i mirovina (čl. 9. st. 2. t. 2.1. podt. 2.1.4. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_10","10","normal","l10n_hr_joppd_nontaxable_receipt","Potpore koje djeci u slučaju smrti roditelja isplaćuju ili daju jedinice lokalne i područne (regionalne) samouprave na temelju svojih općih akata te pravne i fizičke osobe (čl. 9. st. 2. t. 2.8. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_11","11","normal","l10n_hr_joppd_nontaxable_receipt","Naknada razlike plaće za vrijeme vojne službe u Oružanim snagama Republike Hrvatske, naknada plaće pripadnicima civilne zaštite i drugim osobama za djelatnost u okviru civilne zaštite i zaštite od elementarnih nepogoda, te naknade i nagrade koje osuđene osobe primaju za rad u kazneno-popravnim ustanovama i domovima za preodgoj (čl. 10. t. 1., 2. i 8. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_12","12","normal","l10n_hr_joppd_nontaxable_receipt","Naknada plaće za vrijeme privremene nezaposlenosti i spriječenosti za rad isplaćena na teret sredstava obveznih osiguranja (čl. 10. t. 3. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_13","13","normal","l10n_hr_joppd_nontaxable_receipt","Nagrade učenicima za vrijeme praktičnog rada i naukovanja, do propisanog iznosa (čl. 10. t. 4. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_14","14","normal","l10n_hr_joppd_nontaxable_receipt","Nagrade učenicima i studentima osvojene na natjecanjima u okviru obrazovnog sustava i organiziranim školskim i sveučilišnim natjecanjima (čl. 10. t. 5. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_15","15","normal","l10n_hr_joppd_nontaxable_receipt","Primici učenika i studenata na redovnom školovanju za rad preko učeničkih i studentskih udruga, po posebnim propisima, do propisanog iznosa (čl. 10. t. 6. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_16","16","normal","l10n_hr_joppd_nontaxable_receipt","Naknade štete zbog posljedica nesreće na radu prema odluci suda ili nagodbi u tijeku sudskog postupka, ako je naknada određena u jednokratnom iznosu (čl. 10. t. 7. Zakonao porezu na dohodak) i zatezne kamate isplaćene temeljem plaće ili mirovine po sudskoj presudi (čl. 15. st. 3. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_17","17","normal","l10n_hr_joppd_nontaxable_receipt","Ukupan iznos isplaćenih dnevnica u izvještajnom razdoblju (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 13. i 14. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_18","18","normal","l10n_hr_joppd_nontaxable_receipt","Naknade za korištenje privatnog automobila u službene svrhe, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 5. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_19","19","normal","l10n_hr_joppd_nontaxable_receipt","Naknade troškova prijevoza na posao i s posla mjesnim i međumjesnim javnim prijevozom (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 3. i 4. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_20","20","normal","l10n_hr_joppd_nontaxable_receipt","Potpore zbog invalidnosti radnika do propisanog iznosa, potpore za slučaj smrti radnika, potpore u slučaju smrti člana uže obitelji radnika, do propisanog iznosa, potpore zbog neprekidnog bolovanja radnika dužeg od 90 dana, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 6., 7., 8. i 9. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_21","21","normal","l10n_hr_joppd_nontaxable_receipt","Dar djetetu do 15 godina starosti, do propisanog iznosa i potpore za novorođenče, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 10. i 22. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_22","22","normal","l10n_hr_joppd_nontaxable_receipt","Prigodne nagrade, do propisanog iznosa (božićnica, naknada za godišnji odmor i sl.) i nagrade radnicima za navršene godine staža, do propisanih iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 11. i 12. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_23","23","normal","l10n_hr_joppd_nontaxable_receipt","Terenski dodatak, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 15. i 16. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_24","24","normal","l10n_hr_joppd_nontaxable_receipt","Pomorski dodatak, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 17. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_25","25","normal","l10n_hr_joppd_nontaxable_receipt","Naknade za odvojeni život od obitelji, do propisanog iznosa (čl. 10. t. 9. Zakona o porezu na dohodak i čl. 13. st. 2. t. 19. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_26","26","normal","l10n_hr_joppd_nontaxable_receipt","Otpremnine, do propisanog iznosa (čl. 10. t. 9. Zakona i čl. 13. st. 2. t. 20. i 21. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_27","27","normal","l10n_hr_joppd_nontaxable_receipt","Naknade za službena putovanja po osnovi prijevoza i noćenja iz članka 13. stavka 2. točke 1. i 2. Pravilnika o porezu na dohodak koje isplaćuju neprofitne organizacije, fizičkim osobama koje za te organizacije obavljaju poslove iz njihovog djelokruga odnosno za njihove potrebe i uz naknadu, a pod uvjetom da računi o obavljenim uslugama glase na isplatitelja – neprofitnu organizaciju (čl. 10. t. 11. Zakona o porezu na dohodak i čl. 7. st. 6. Pravilnika o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_28","28","normal","l10n_hr_joppd_nontaxable_receipt","Stipendije, ukupno do propisanog iznosa (čl. 10. t. 12., 13., 14. i 18. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_29","29","normal","l10n_hr_joppd_nontaxable_receipt","Nagrade za sportska ostvarenja i naknade sportašima amaterima prema posebnim propisima, do propisanih iznosa (čl. 10. t. 16. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_30","30","normal","l10n_hr_joppd_nontaxable_receipt","Sindikalne socijalne pomoći koje se isplaćuju iz sredstava sindikalne članarine članovima sindikata (čl. 10. t. 15. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_31","31","normal","l10n_hr_joppd_nontaxable_receipt","Primici koji se kao bespovratna sredstva isplaćuju iz fondova i programa Europske unije putem tijela akreditiranih u skladu s pravilima Europske komisije u Republici Hrvatskoj za provedbu aktivnosti mobilnosti u okviru programa i fondova Europske unije, a u svrhe obrazovanja i stručnog usavršavanja (čl. 10. t. 20. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_32","32","normal","l10n_hr_joppd_nontaxable_receipt","Primici koje isplaćuje Hrvatski zavod za mirovinsko osiguranje, a koji se ne smatraju primicima od nesamostalnog rada (čl. 15. st. 2. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_33","33","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dividendi i udjela u dobiti ostvareni u okviru ESOP programa (čl. 30. st. 12. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_34","34","normal","l10n_hr_joppd_nontaxable_receipt","Primici po osnovi dividendi i udjela u dobiti iskorišteni za uvećanje temeljnog kapitala društva (čl. 30. st. 13. Zakona o porezu na dohodak)"
"l10n_hr_joppd_nontaxable_receipt_35","35","normal","l10n_hr_joppd_nontaxable_receipt","Obiteljske mirovine odnosno novčane naknade u visini obiteljske mirovine ostvarene prema Zakonu o pravima hrvatskih branitelja iz Domovinskog rata i članova njihovih obitelji (čl. 53. st. 2. Zakona o porezu na dohodak)"
