"id","code","type","parent_id/id","name"
"l10n_hr_joppd_receipt","","view",,"Primici/obveze doprinosa"
"l10n_hr_joppd_receipt_0000","0000","normal","l10n_hr_joppd_receipt"," "
"l10n_hr_joppd_receipt_0001-0499","0001-0499","view","l10n_hr_joppd_receipt","PRIMICI OD NESAMOSTALNOG RADA"
"l10n_hr_joppd_receipt_0001-0299","0001-0299","view","l10n_hr_joppd_receipt_0001-0499","Primici po osnovi radnog odnosa (plaća)"
"l10n_hr_joppd_receipt_0001-0019","0001-0019","view","l10n_hr_joppd_receipt_0001-0299","Primici po osnovi plaće"
"l10n_hr_joppd_receipt_0001","0001","normal","l10n_hr_joppd_receipt_0001-0019","Primici po osnovi plaće"
"l10n_hr_joppd_receipt_0002","0002","normal","l10n_hr_joppd_receipt_0001-0019","Primici po osnovi plaće, a koja je viša od najviše mjesečne osnovice za obračun doprinosa"
"l10n_hr_joppd_receipt_0003","0003","normal","l10n_hr_joppd_receipt_0001-0019","Primici po osnovi plaće, a koja je viša od najviše godišnje osnovice za obračun doprinosa"
"l10n_hr_joppd_receipt_0004","0004","normal","l10n_hr_joppd_receipt_0001-0019","Naknadni obračun i isplata plaće za razdoblje koje je ranije od 1.1. 2003."
"l10n_hr_joppd_receipt_0021-0039","0021-0039","view","l10n_hr_joppd_receipt_0001-0299","Ostali primici od nesamostalnog rada iz članka 22. stavka 3. Zakona o doprinosima"
"l10n_hr_joppd_receipt_0021","0021","normal","l10n_hr_joppd_receipt_0021-0039","Ostali primici koji se isplaćuju uz plaću"
"l10n_hr_joppd_receipt_0022","0022","normal","l10n_hr_joppd_receipt_0021-0039","Ostali primici koji se isplaćuju koji su viši od najviše godišnje osnovice za obračun doprinosa"
"l10n_hr_joppd_receipt_0023","0023","normal","l10n_hr_joppd_receipt_0021-0039","Obveza doprinosa za ostale neoporezive primitke koji bi bili oporezivi porezom na dohodak da odredbama ugovora o izbjegavanju dvostrukog oporezivanja nije drukčije uređeno, a koji se isplaćuju uz plaću za rad u određenom mjesecu ili godini i koji se pripisuju tom mjesecu ili godini"
"l10n_hr_joppd_receipt_0024","0024","normal","l10n_hr_joppd_receipt_0021-0039","Obveza doprinosa za ostale neoporezive primitke koji bi bili oporezivi porezom na dohodak da odredbama ugovora o izbjegavanju dvostrukog oporezivanja nije drukčije uređeno, a koji se isplaćuju uz plaću za rad u određenom mjesecu ili godini i pripisuju se tom mjesecu ili godini, a koji su viši od najviše godišnje osnovice za obračun doprinosa"
"l10n_hr_joppd_receipt_0025","0025","normal","l10n_hr_joppd_receipt_0021-0039","Ostali primici koji se isplaćuju uz plaću a koji se odnose se na otpremninu"
"l10n_hr_joppd_receipt_0026","0026","normal","l10n_hr_joppd_receipt_0021-0039","Ostali primici koji se isplaćuju uz plaću a koji se odnose se na otpremninu a koji su viši od najviše godišnje osnovice za obračun doprinosa"
