code,name_hr,name_en,date_start
A,"PROIZVODI POLJOPRIVREDE, ŠUMARSTVA I RIBARSTVA","PRODUCTS OF AGRICULTURE, FORESTRY AND FISHING",2025-01-01
01,"Biljni i stočarski proizvodi, proizvodi lovstva i usluge povezane s njima","Products of agriculture, hunting and related services",2025-01-01
01.1,Jednogodišnji usjevi,Non-perennial crops,2025-01-01
01.11,"Žitarice, osim riže, mahunarke i uljano sjemenje","Cereals, other than rice, leguminous crops and oil seeds",2025-01-01
01.11.1,Pšenica,Wheat,2025-01-01
01.11.11,Tvrda pšenica,Durum wheat,2025-01-01
01.11.12,"Pšenica, osim tvrde","Wheat, except durum wheat",2025-01-01
01.11.2,Kukuruz,Maize,2025-01-01
01.11.20,Kukuruz,Maize,2025-01-01
01.11.3,"Ječam, raž i zob","Barley, rye and oats",2025-01-01
01.11.31,Ječam,Barley,2025-01-01
01.11.32,Raž,Rye,2025-01-01
01.11.33,Zob,Oats,2025-01-01
01.11.4,"Sirak, proso i ostale žitarice","Sorghum, millet and other cereals",2025-01-01
01.11.41,Sirak,Sorghum,2025-01-01
01.11.42,Proso,Millet,2025-01-01
01.11.43,Tritikale (pšenoraž),Triticale,2025-01-01
01.11.49,"Ostale žitarice, d. n.",Other cereals n.e.c.,2025-01-01
01.11.5,Slama i pljeva od žitarica,Cereal straw and husks,2025-01-01
01.11.50,Slama i pljeva od žitarica,Cereal straw and husks,2025-01-01
01.11.6,"Mahunasto povrće, svježe, neoljušteno","Fresh leguminous vegetables, unshelled",2025-01-01
01.11.61,"Grah, svježi, neoljušten","Fresh beans, unshelled",2025-01-01
01.11.62,"Grašak, svježi, neoljušten","Fresh peas, unshelled",2025-01-01
01.11.69,"Mahunasto povrće, svježe, neoljušteno, d. n.","Fresh leguminous vegetables, unshelled, n.e.c.",2025-01-01
01.11.7,"Mahunasto povrće, suho",Dried leguminous vegetables,2025-01-01
01.11.71,"Grah, suhi","Beans, dry",2025-01-01
01.11.72,"Bob, suhi","Broad beans, dry",2025-01-01
01.11.73,"Slanutak, suhi","Chick peas, dry",2025-01-01
