id,l10n_hr_tax_category_id
"VAT_S_IN_ROC_25", "l10n_hr_tax_category.tax_category_PDV25"
"VAT_S_IN_ROC_13", "l10n_hr_tax_category.tax_category_PDV13"
"VAT_S_IN_ROC_5", "l10n_hr_tax_category.tax_category_PDV5"
"VAT_S_EU_G", "l10n_hr_tax_category.tax_category_K"
"VAT_S_EU_S", "l10n_hr_tax_category.tax_category_K"
"VAT_S_EX_O", "l10n_hr_tax_category.tax_category_G"
"VAT_S_reverse_O", "l10n_hr_tax_category.tax_category_AE"
"VAT_S_carried_other_state_O", "l10n_hr_tax_category.tax_category_N"
"VAT_S_person_not_in_ROC_O", "l10n_hr_tax_category.tax_category_N"
"VAT_P_IN_ROC_25", "l10n_hr_tax_category.tax_category_PDV25"
"VAT_P_IN_ROC_13", "l10n_hr_tax_category.tax_category_PDV13"
"VAT_P_IN_ROC_5", "l10n_hr_tax_category.tax_category_PDV5"
"VAT_P_G_IN_EU_25", "l10n_hr_tax_category.tax_category_K"
"VAT_P_S_IN_EU_25", "l10n_hr_tax_category.tax_category_K"
"VAT_P_G_IN_EU_13", "l10n_hr_tax_category.tax_category_K"
"VAT_P_S_IN_EU_13", "l10n_hr_tax_category.tax_category_K"
"VAT_P_G_IN_EU_5", "l10n_hr_tax_category.tax_category_K"
"VAT_P_S_IN_EU_5", "l10n_hr_tax_category.tax_category_K"
"VAT_P_reverse_charge", "l10n_hr_tax_category.tax_category_AE"
"VAT_P_O", "l10n_hr_tax_category.tax_category_N"
